aX,aY,aZ,gX,gY,gZ
0.718,-1.816,0.588,43.030,17.395,-89.844
0.810,-2.088,0.849,20.752,22.949,-59.326
0.875,-2.409,1.146,-8.057,32.837,-35.217
0.871,-2.790,1.457,-34.790,41.138,-17.456
0.831,-3.285,1.730,-39.185,44.373,9.949
0.764,-3.571,2.047,-24.231,60.059,69.519
0.630,-3.385,2.177,8.057,108.398,156.311
0.361,-2.717,2.020,70.190,158.020,240.723
0.022,-1.950,1.911,135.193,179.932,293.274
-0.193,-1.482,1.882,181.458,189.026,310.669
-0.172,-1.136,1.631,227.173,198.486,315.063
-0.274,-0.894,1.511,277.039,202.393,319.641
-0.289,-0.725,1.310,295.898,202.026,321.838
-0.395,-0.663,1.246,282.410,214.355,332.520
-0.703,-0.593,1.366,258.789,240.784,363.953
-0.797,-0.495,0.930,264.526,279.114,416.931
-1.057,-0.200,0.160,288.574,296.387,477.905
-1.366,0.259,-0.358,284.607,282.715,516.479
-1.578,0.845,-0.675,256.836,253.845,527.222
-1.571,1.287,-1.208,246.216,233.215,496.277
-1.447,1.791,-1.512,243.652,218.506,417.358
-1.704,2.310,-1.543,228.638,208.557,303.833
-2.388,2.895,-1.556,226.379,219.788,174.683
-3.299,3.573,-1.845,226.379,231.812,43.701
-3.920,4.000,-2.196,211.792,201.782,-76.782
-3.949,4.000,-2.399,174.011,120.483,-150.879
-3.279,4.000,-2.245,95.703,10.193,-149.536
-2.136,3.445,-1.682,-26.550,-89.539,-81.055
-0.833,2.465,-0.981,-147.400,-158.020,5.066
0.482,1.331,-0.441,-217.102,-191.223,49.194
1.672,0.141,-0.114,-225.098,-190.430,30.762
2.704,-1.080,0.103,-189.880,-168.335,-21.240
3.286,-1.773,0.081,-134.216,-127.991,-59.875
3.349,-2.075,-0.210,-81.726,-78.125,-78.125
3.002,-2.029,-0.607,-39.978,-33.142,-79.163
2.349,-1.705,-0.914,-9.399,-3.357,-68.054
1.566,-1.207,-1.165,12.451,11.047,-55.664
0.872,-0.618,-1.383,31.128,11.414,-43.213
0.349,-0.005,-1.488,34.058,-2.869,-25.757
-0.076,0.534,-1.432,12.695,-28.503,-3.906
-0.234,0.890,-1.312,-10.376,-53.833,15.869
-0.254,1.102,-1.152,-25.208,-67.505,18.616
-0.201,1.209,-1.001,-34.241,-73.486,4.517
-0.081,1.233,-0.942,-29.602,-75.562,-20.386
0.084,1.138,-0.935,-19.714,-75.745,-54.993
0.219,0.928,-0.960,-17.761,-75.378,-94.177
0.292,0.644,-0.965,-24.963,-76.355,-131.348
0.370,0.334,-0.953,-37.109,-80.322,-157.410
0.480,0.041,-0.946,-54.199,-90.759,-158.020
0.630,-0.248,-0.735,-86.914,-110.352,-125.183
0.822,-0.452,-0.470,-127.502,-121.948,-61.646
0.948,-0.425,-0.303,-160.645,-119.202,14.343
1.044,-0.214,-0.231,-173.828,-116.150,83.374
1.137,0.067,-0.285,-168.396,-113.525,124.146
1.157,0.337,-0.288,-157.471,-111.206,124.939
1.145,0.485,-0.328,-136.414,-109.680,88.135
1.211,0.544,-0.400,-106.079,-109.802,22.217
1.219,0.501,-0.406,-80.750,-112.122,-64.697
1.075,0.357,-0.334,-67.383,-118.530,-155.823
0.891,0.119,-0.221,-63.477,-125.488,-226.990
0.765,-0.223,-0.056,-76.843,-123.657,-260.193
0.722,-0.627,0.094,-102.905,-101.074,-246.582
0.683,-0.750,0.136,-122.925,-65.735,-189.941
0.692,-0.629,0.037,-123.352,-36.743,-114.319
0.731,-0.415,-0.114,-111.389,-22.949,-48.828
0.783,-0.242,-0.190,-104.004,-25.635,-13.733
0.874,-0.195,-0.116,-99.731,-40.771,-12.085
0.925,-0.210,0.031,-85.693,-56.946,-32.043
0.920,-0.248,0.084,-60.913,-64.209,-62.256
0.931,-0.275,0.026,-41.077,-62.683,-91.553
0.914,-0.268,-0.047,-33.142,-56.946,-114.563
0.896,-0.388,-0.077,-35.217,-52.124,-131.470
0.865,-0.603,0.040,-39.063,-48.096,-139.404
0.831,-0.784,0.125,-35.950,-43.274,-132.507
0.815,-0.896,0.134,-30.029,-42.847,-68.298
0.861,-0.802,0.050,-33.142,-39.856,-27.283
0.942,-0.635,0.087,-40.405,-34.363,-1.221
1.019,-0.456,0.174,-44.861,-26.733,0.183
1.026,-0.387,0.180,-39.124,-16.907,-24.048
0.954,-0.411,0.083,-26.245,-7.812,-61.401
0.839,-0.427,0.000,-14.954,-5.005,-97.534
0.752,-0.456,-0.067,-6.958,-8.911,-127.686
0.663,-0.669,-0.144,-4.333,-16.174,-149.658
0.597,-1.060,-0.119,-10.559,-18.860,-152.161
0.528,-1.219,-0.060,-23.682,-13.794,-120.178
0.531,-1.148,-0.028,-36.255,-10.437,-64.514
0.584,-1.004,-0.021,-43.518,-10.315,-13.611
0.654,-0.868,-0.007,-45.654,-8.789,15.137
0.691,-0.736,0.026,-41.443,-6.165,22.644
0.708,-0.673,0.008,-26.978,-4.700,10.742
0.693,-0.657,-0.061,-9.338,-5.066,-12.634
0.645,-0.644,-0.132,5.371,-8.118,-37.659
0.618,-0.623,-0.179,15.259,-14.648,-56.458
0.616,-0.569,-0.203,17.334,-21.912,-66.650
0.616,-0.512,-0.217,12.573,-27.283,-71.228
0.601,-0.520,-0.231,0.977,-30.151,-72.449
0.582,-0.651,-0.211,-15.625,-31.555,-68.970
0.601,-0.865,-0.062,-33.081,-30.884,-54.993
0.626,-0.936,0.070,-44.312,-22.766,-29.053
0.661,-0.932,0.115,-45.715,-12.512,-1.282
0.711,-0.864,0.095,-37.720,-5.554,19.653
0.748,-0.775,0.042,-25.330,-1.404,27.039
0.747,-0.720,-0.004,-13.123,-2.441,19.653
0.735,-0.691,-0.039,-2.930,-6.897,4.700
0.723,-0.669,-0.063,6.958,-12.207,-11.353
0.716,-0.653,-0.071,13.550,-17.151,-26.489
0.711,-0.647,-0.068,15.869,-20.691,-38.452
0.704,-0.651,-0.067,13.550,-23.193,-45.593
0.682,-0.677,-0.063,7.202,-23.621,-46.631
0.667,-0.711,-0.055,-1.709,-22.461,-41.138
0.677,-0.775,-0.011,-11.047,-19.775,-30.823
0.676,-0.804,0.035,-17.029,-14.893,-19.104
0.669,-0.813,0.047,-16.724,-11.353,-8.057
0.664,-0.778,0.009,-12.024,-10.254,-0.427
0.675,-0.726,0.001,-8.362,-10.376,2.930
0.691,-0.676,0.016,-6.836,-10.559,1.343
0.696,-0.648,0.015,-5.981,-9.583,-4.578
0.688,-0.660,0.009,-3.906,-9.033,-13.916
0.678,-0.692,0.012,-3.601,-9.705,-20.996

1.032,-1.354,0.749,-0.427,3.906,-9.277
1.135,-1.675,1.003,-3.845,5.310,-11.230
1.236,-2.001,1.326,-5.371,7.263,-6.348
1.361,-2.425,1.743,-4.822,9.583,6.592
1.494,-2.905,2.253,-0.061,16.785,35.767
1.514,-3.142,2.690,19.409,34.424,88.318
1.429,-2.974,3.044,55.420,59.082,155.090
1.259,-2.588,3.255,109.009,90.454,217.468
0.996,-1.959,3.108,175.842,135.254,259.033
0.673,-1.323,2.771,224.609,189.880,274.658
0.210,-0.889,2.419,237.549,240.845,272.705
-0.318,-0.770,2.006,227.356,289.246,269.714
-0.721,-0.824,1.432,210.388,334.900,282.715
-0.952,-0.869,0.835,174.255,360.901,318.237
-1.034,-0.941,0.391,119.751,369.080,360.779
-1.022,-1.114,0.169,70.740,367.737,398.437
-0.859,-1.175,0.115,51.819,365.479,429.016
-0.681,-0.982,-0.188,87.341,375.732,441.040
-0.880,-0.573,-0.403,146.912,403.870,415.161
-1.572,0.046,-0.379,211.243,454.407,344.849
-2.921,1.194,-0.655,312.073,524.292,230.713
-4.000,2.926,-1.298,444.824,576.050,84.290
-4.000,4.000,-2.365,537.231,543.945,-63.293
-4.000,4.000,-3.988,512.268,382.812,-143.311
-4.000,4.000,-4.000,315.125,157.410,-134.949
-3.920,4.000,-3.656,-33.081,-34.302,-80.017
-2.534,3.298,-1.078,-370.117,-217.834,4.150
-0.834,1.215,0.893,-508.301,-368.408,77.026
0.966,0.182,1.762,-455.078,-413.513,126.953
2.666,-0.273,1.795,-337.158,-345.459,134.888
3.911,-0.702,1.500,-213.928,-231.445,70.435
4.000,-1.216,1.119,-105.530,-129.700,-45.410
3.718,-1.647,0.662,-9.949,-41.504,-156.982
2.911,-1.746,0.003,69.214,36.438,-222.412
1.986,-1.521,-0.735,117.004,85.938,-234.436
1.040,-1.127,-1.350,131.287,99.304,-210.083
0.309,-0.695,-1.809,114.258,84.839,-160.339
-0.173,-0.235,-1.981,65.552,49.622,-87.769
-0.403,0.207,-1.911,-5.127,1.038,-6.775
-0.457,0.573,-1.671,-75.378,-46.204,62.378
-0.416,0.844,-1.414,-122.131,-82.458,105.225
-0.289,1.015,-1.195,-138.672,-107.971,117.554
-0.132,1.114,-1.076,-129.883,-124.207,101.379
0.043,1.105,-1.049,-106.934,-133.179,61.340
0.222,0.975,-1.060,-82.153,-137.573,9.766
0.339,0.715,-1.009,-67.749,-138.306,-41.870
0.399,0.369,-0.877,-63.477,-135.803,-85.144
0.459,0.045,-0.710,-63.110,-134.277,-113.464
0.560,-0.176,-0.535,-64.453,-133.484,-121.643
0.652,-0.294,-0.431,-64.819,-133.362,-109.924
0.695,-0.315,-0.458,-68.665,-134.033,-85.693
0.755,-0.234,-0.512,-81.421,-137.085,-56.274
0.821,-0.145,-0.449,-103.210,-145.325,-30.701
0.849,-0.105,-0.246,-117.676,-153.992,-16.968
0.892,-0.072,-0.054,-117.493,-155.151,-14.709
0.975,0.060,-0.033,-104.797,-145.203,-22.034
1.021,0.169,-0.096,-79.407,-130.432,-50.964
0.973,0.172,-0.133,-59.753,-120.422,-101.807
0.837,-0.041,-0.112,-45.044,-114.380,-156.250
0.675,-0.492,-0.076,-39.185,-107.971,-191.956
0.600,-0.836,-0.056,-45.044,-96.802,-184.570
0.594,-0.876,-0.024,-62.256,-91.187,-128.479
0.616,-0.731,-0.034,-85.388,-88.074,-48.157
0.643,-0.496,-0.036,-112.305,-79.773,27.161
0.689,-0.244,-0.072,-132.996,-71.838,79.773
0.837,-0.050,-0.075,-140.625,-72.449,96.008
1.002,0.099,0.046,-133.240,-85.510,71.350
1.065,0.157,0.241,-111.450,-98.328,6.409
0.994,0.059,0.301,-74.707,-97.412,-82.947
0.840,-0.140,0.185,-35.095,-89.600,-166.565
0.678,-0.539,0.071,-13.184,-84.778,-217.407
0.585,-0.929,0.085,-15.320,-76.782,-216.125
0.564,-1.092,0.196,-34.729,-60.303,-161.072
0.612,-1.039,0.254,-59.448,-45.349,-78.369
0.726,-0.853,0.248,-79.224,-37.354,-1.038
0.833,-0.630,0.295,-85.022,-35.828,42.419
0.971,-0.464,0.407,-76.477,-40.833,36.804
1.035,-0.374,0.449,-48.279,-45.654,-7.690
0.990,-0.382,0.364,-13.245,-45.959,-73.181
0.878,-0.472,0.234,13.000,-40.833,-138.123
0.723,-0.543,0.119,23.804,-38.818,-180.908
0.596,-0.687,0.043,18.066,-40.955,-195.984
0.533,-0.967,0.032,-2.197,-39.612,-181.641
0.524,-1.170,0.110,-27.893,-31.006,-136.475
0.583,-1.149,0.176,-50.537,-18.494,-68.481
0.667,-0.992,0.171,-62.805,-10.803,-1.709
0.740,-0.837,0.184,-65.979,-8.362,31.616
0.768,-0.767,0.230,-57.556,-13.977,25.513
0.750,-0.771,0.230,-34.668,-25.574,-4.272
0.725,-0.794,0.206,-7.385,-37.109,-41.443
0.712,-0.815,0.192,14.038,-42.603,-73.120
0.689,-0.819,0.195,24.841,-40.833,-90.454
0.661,-0.828,0.158,24.109,-33.630,-91.492
0.618,-0.858,0.047,12.329,-24.048,-75.623
0.616,-0.807,0.023,-12.024,-16.357,-45.471
0.640,-0.731,0.048,-36.377,-14.832,-12.512
0.712,-0.658,0.124,-52.979,-17.578,6.836
0.753,-0.697,0.207,-57.861,-23.621,6.348
0.747,-0.859,0.252,-50.659,-26.855,-3.784
0.719,-0.938,0.272,-37.415,-24.475,-12.573
0.688,-0.928,0.255,-20.569,-23.560,-14.221
0.686,-0.885,0.206,-5.981,-25.696,-9.949
0.705,-0.811,0.188,1.770,-26.794,-3.357
0.733,-0.705,0.203,2.563,-25.757,3.723
0.747,-0.633,0.223,-1.465,-22.949,7.935
0.747,-0.630,0.213,-7.263,-19.287,8.850
0.751,-0.634,0.202,-12.695,-16.052,9.338
0.754,-0.637,0.210,-16.846,-14.587,8.911
0.751,-0.648,0.215,-20.020,-13.733,8.118
0.754,-0.656,0.209,-23.071,-12.573,7.690
0.755,-0.671,0.231,-25.146,-11.963,7.629
0.747,-0.700,0.264,-22.400,-12.146,4.822
0.758,-0.728,0.275,-14.160,-12.329,-0.610
0.765,-0.734,0.275,-5.188,-12.085,-6.470
0.764,-0.735,0.262,2.197,-10.254,-12.756
0.751,-0.741,0.250,7.202,-7.996,-17.944
0.728,-0.755,0.234,8.911,-5.920,-20.264
0.711,-0.757,0.212,8.728,-4.395,-18.799
0.703,-0.739,0.190,6.165,-3.418,-14.343

0.832,-1.215,0.858,11.658,7.507,19.836
0.894,-1.344,1.036,16.174,12.756,28.320
0.960,-1.485,1.205,24.536,19.165,40.344
1.013,-1.661,1.366,34.058,29.968,52.795
1.030,-1.842,1.621,42.175,47.791,67.810
1.048,-2.070,2.004,43.640,70.923,88.867
1.101,-2.301,2.375,46.692,99.548,122.375
1.152,-2.405,2.690,60.974,132.080,168.823
1.160,-2.397,2.819,93.506,170.898,216.858
1.083,-2.221,2.706,142.517,208.618,253.784
0.890,-1.991,2.623,190.857,243.774,273.071
0.652,-1.792,2.537,230.530,277.100,281.921
0.512,-1.351,2.370,270.874,301.697,291.748
0.469,-1.040,2.237,300.537,309.021,294.739
0.399,-1.044,1.939,314.697,310.547,295.593
0.250,-0.876,1.745,303.528,321.777,315.857
0.105,-0.683,1.575,263.489,340.149,352.783
-0.148,-0.676,1.064,217.102,352.234,394.653
-0.546,-0.539,0.650,159.607,356.934,436.462
-0.653,-0.337,0.513,117.249,346.863,461.792
-0.545,-0.244,0.345,107.178,327.637,459.717
-0.569,-0.060,0.099,107.056,337.097,431.396
-0.935,0.432,0.009,113.831,382.019,371.704
-2.176,1.154,-0.097,146.667,456.909,260.864
-4.000,2.425,-0.543,228.210,559.448,87.463
-4.000,4.000,-1.656,369.019,608.704,-134.949
-4.000,4.000,-3.524,480.103,512.085,-315.979
-4.000,4.000,-4.000,404.785,294.128,-352.783
-4.000,4.000,-4.000,128.113,50.659,-236.877
-4.000,3.568,-2.103,-222.412,-193.359,-33.813
-2.187,1.712,0.349,-449.463,-399.475,154.175
0.226,0.879,1.584,-464.233,-497.314,258.850
2.624,0.415,1.908,-359.436,-472.168,258.301
4.000,-0.011,1.963,-238.220,-372.192,162.903
4.000,-0.690,1.988,-133.179,-254.456,16.296
4.000,-1.399,1.666,-43.030,-126.221,-116.760
4.000,-1.677,0.888,28.442,3.540,-193.481
3.505,-1.591,-0.105,77.698,101.807,-223.267
2.086,-1.337,-1.016,98.877,154.663,-218.384
0.854,-0.967,-1.589,90.088,168.762,-183.289
-0.073,-0.500,-1.829,56.458,148.926,-127.930
-0.652,0.012,-1.892,11.658,112.366,-63.293
-0.923,0.538,-1.833,-33.752,72.144,-4.150
-0.991,0.959,-1.715,-69.397,32.959,33.813
-0.933,1.174,-1.590,-83.130,-3.174,45.349
-0.795,1.209,-1.470,-78.186,-33.020,37.109
-0.580,1.094,-1.394,-61.462,-55.603,19.531
-0.368,0.935,-1.326,-46.448,-73.914,2.869
-0.182,0.800,-1.244,-33.508,-86.243,-10.620
-0.038,0.671,-1.162,-26.672,-95.459,-21.790
0.092,0.543,-1.085,-24.414,-103.088,-31.555
0.220,0.436,-1.023,-25.696,-109.009,-41.626
0.315,0.340,-0.963,-30.579,-113.892,-52.734
0.377,0.235,-0.901,-37.415,-119.385,-64.270
0.451,0.149,-0.783,-45.105,-128.113,-73.547
0.541,0.110,-0.668,-55.847,-140.930,-74.402
0.640,0.083,-0.535,-66.406,-151.306,-67.139
0.762,-0.010,-0.344,-73.853,-155.090,-58.289
